https://www.schneier.com/feed/atom/,Data Exfiltration Using Indirect Prompt Injection
https://www.schneier.com/feed/atom/,Cyberattack on Ukraine’s Kyivstar Seems to Be Russian Hacktivists
https://www.schneier.com/feed/atom/,GCHQ Christmas Codebreaking Challenge
https://www.schneier.com/feed/atom/,OpenAI Is Not Training on Your Dropbox Documents—Today
https://www.schneier.com/feed/atom/,Police Get Medical Records without a Warrant
https://www.schneier.com/feed/atom/,Friday Squid Blogging: Underwater Sculptures Use Squid Ink for Coloring
https://www.schneier.com/feed/atom/,A Robot the Size of the World
https://www.schneier.com/feed/atom/,Surveillance Cameras Disguised as Clothes Hooks
https://www.schneier.com/feed/atom/,Surveillance by the US Postal Service
https://www.schneier.com/feed/atom/,New Windows/Linux Firmware Attack
https://www.schneier.com/feed/atom/,New iPhone Exploit Uses Four Zero-Days
https://www.schneier.com/feed/atom/,Facial Recognition Systems in the US
https://www.schneier.com/feed/atom/,TikTok Editorial Analysis
https://www.schneier.com/feed/atom/,Friday Squid Blogging: Sqids
https://www.schneier.com/feed/atom/,AI Is Scarily Good at Guessing the Location of Random Photos
https://www.schneier.com/feed/atom/,AI and Lossy Bottlenecks
https://www.schneier.com/feed/atom/,New iPhone Security Features to Protect Stolen Devices
https://www.schneier.com/feed/atom/,Google Stops Collecting Location Data from Maps
https://www.schneier.com/feed/atom/,Friday Squid Blogging: Squid Parts into Fertilizer
https://www.schneier.com/feed/atom/,Ben Rothke’s Review of A Hacker’s Mind
https://www.schneier.com/feed/atom/,Canadian Citizen Gets Phone Back from Police
https://www.schneier.com/feed/atom/,Code Written with AI Assistants Is Less Secure
https://www.schneier.com/feed/atom/,The Story of the Mirai Botnet
https://www.schneier.com/feed/atom/,Voice Cloning with Very Short Samples
https://www.schneier.com/feed/atom/,Upcoming Speaking Engagements
https://www.schneier.com/feed/atom/,Friday Squid Blogging: Giant Squid from Newfoundland in the 1800s
https://www.schneier.com/feed/atom/,On IoT Devices and Software Liability
https://www.schneier.com/feed/atom/,Pharmacies Giving Patient Records to Police without Warrants
https://www.schneier.com/feed/atom/,Facial Scanning by Burger King in Brazil
https://www.schneier.com/feed/atom/,PIN-Stealing Android Malware
https://www.schneier.com/feed/atom/,NSA Buying Bulk Surveillance Data on Americans without a Warrant
https://www.schneier.com/feed/atom/,Microsoft Executives Hacked
https://www.schneier.com/feed/atom/,Friday Squid Blogging: Footage of Black-Eyed Squid Brooding Her Eggs
https://www.schneier.com/feed/atom/,Chatbots and Human Conversation
https://www.schneier.com/feed/atom/,Quantum Computing Skeptics
https://www.schneier.com/feed/atom/,Poisoning AI Models
https://www.schneier.com/feed/atom/,Side Channels Are Common
https://www.schneier.com/feed/atom/,AI Bots on X (Twitter)
https://www.schneier.com/feed/atom/,Friday Squid Blogging: New Foods from Squid Fins
https://www.schneier.com/feed/atom/,Zelle Is Using My Name and Voice without My Consent
https://www.schneier.com/feed/atom/,New Image/Video Prompt Injection Attacks
https://www.schneier.com/feed/atom/,Details of a Phone Scam
https://www.schneier.com/feed/atom/,Microsoft Is Spying on Users of Its AI Tools
https://www.schneier.com/feed/atom/,EU Court of Human Rights Rejects Encryption Backdoors
https://www.schneier.com/feed/atom/,Friday Squid Blogging: Vegan Squid-Ink Pasta
https://www.schneier.com/feed/atom/,On the Insecurity of Software Bloat
https://www.schneier.com/feed/atom/,Friday Squid Blogging: New Extinct Species of Vampire Squid Discovered
https://www.schneier.com/feed/atom/,NIST Cybersecurity Framework 2.0
https://www.schneier.com/feed/atom/,How the “Frontier” Became the Slogan of Uncontrolled AI
https://www.schneier.com/feed/atom/,A Cyber Insurance Backstop
https://www.schneier.com/feed/atom/,China Surveillance Company Hacked
https://www.schneier.com/feed/atom/,Apple Announces Post-Quantum Encryption Algorithms for iMessage
https://www.schneier.com/feed/atom/,Friday Squid Blogging: Illex Squid and Climate Change
https://www.schneier.com/feed/atom/,AIs Hacking Websites
https://www.schneier.com/feed/atom/,LLM Prompt Injection Worm
